No.,Time,,Time 1,Time 2,Delay
460,"12,168,781",,"12,168,781","12,168,845",
461,"12,168,845",,"12,168,845","12,168,869",
462,"12,168,869",,"12,168,869","12,168,938",
463,"12,168,938",,"12,168,938","12,168,964",
464,"12,168,964",,"12,168,964","12,169,032",
465,"12,169,032",,"12,169,032","12,169,056",
466,"12,169,056",,"12,169,056","12,169,124",
467,"12,169,124",,"12,169,124","12,169,147",
468,"12,169,147",,"12,169,147","12,169,215",
469,"12,169,215",,"12,169,215","12,169,239",
470,"12,169,239",,"12,169,239","12,169,307",
471,"12,169,307",,"12,169,307","12,169,331",
472,"12,169,331",,"12,169,331","12,169,398",
473,"12,169,398",,"12,169,398","12,169,429",
474,"12,169,429",,"12,169,429","12,636,753",
475,"12,636,753",,"12,636,753","12,636,796",
476,"12,636,796",,"12,636,796","12,637,029",
477,"12,637,029",,"12,637,029","12,637,058",
478,"12,637,058",,"12,637,058","12,652,715",
479,"12,652,715",,"12,652,715","1,265,275",
480,"1,265,275",,"1,265,275","12,652,939",
481,"12,652,939",,"12,652,939","12,652,965",
482,"12,652,965",,"12,652,965","13,181,654",
483,"13,181,654",,"13,181,654","13,181,695",
484,"13,181,695",,"13,181,695","13,181,764",
485,"13,181,764",,"13,181,764","13,181,789",
486,"13,181,789",,"13,181,789","13,181,849",
487,"13,181,849",,"13,181,849","13,181,873",
488,"13,181,873",,"13,181,873","1,318,194",
489,"1,318,194",,"1,318,194","13,181,964",
490,"13,181,964",,"13,181,964","13,182,033",
491,"13,182,033",,"13,182,033","13,182,056",
492,"13,182,056",,"13,182,056","13,182,124",
493,"13,182,124",,"13,182,124","13,182,147",
494,"13,182,147",,"13,182,147","13,182,214",
495,"13,182,214",,"13,182,214","13,182,237",
496,"13,182,237",,"13,182,237","13,182,305",
497,"13,182,305",,"13,182,305","13,182,328",
498,"13,182,328",,"13,182,328","13,182,395",
499,"13,182,395",,"13,182,395","13,182,422",
500,"13,182,422",,"13,182,422","13,182,488",
501,"13,182,488",,"13,182,488","13,182,515",
502,"13,182,515",,"13,182,515","13,182,588",
503,"13,182,588",,"13,182,588","13,182,611",
504,"13,182,611",,"13,182,611","13,182,678",
505,"13,182,678",,"13,182,678","13,182,702",
506,"13,182,702",,"13,182,702","1,318,278",
507,"1,318,278",,"1,318,278","13,182,804",
508,"13,182,804",,"13,182,804","13,182,913",
509,"13,182,913",,"13,182,913","13,182,938",
510,"13,182,938",,"13,182,938","13,183,092",
511,"13,183,092",,"13,183,092","13,183,117",
512,"13,183,117",,"13,183,117","13,183,173",
513,"13,183,173",,"13,183,173","13,183,198",
514,"13,183,198",,"13,183,198","14,195,705",
515,"14,195,705",,"14,195,705","14,195,745",
516,"14,195,745",,"14,195,745","1,419,581",
517,"1,419,581",,"1,419,581","14,195,835",
518,"14,195,835",,"14,195,835","14,195,901",
519,"14,195,901",,"14,195,901","14,195,928",
520,"14,195,928",,"14,195,928","14,195,994",
521,"14,195,994",,"14,195,994","14,196,018",
522,"14,196,018",,"14,196,018","1,419,608",
523,"1,419,608",,"1,419,608","14,196,104",
524,"14,196,104",,"14,196,104","14,196,168",
525,"14,196,168",,"14,196,168","14,196,192",
526,"14,196,192",,"14,196,192","14,196,262",
527,"14,196,262",,"14,196,262","14,196,288",
528,"14,196,288",,"14,196,288","14,196,353",
529,"14,196,353",,"14,196,353","14,196,377",
530,"14,196,377",,"14,196,377","14,196,441",
531,"14,196,441",,"14,196,441","14,196,465",
532,"14,196,465",,"14,196,465","1,419,653",
533,"1,419,653",,"1,419,653","14,196,554",
534,"14,196,554",,"14,196,554","14,196,625",
535,"14,196,625",,"14,196,625","14,196,652",
536,"14,196,652",,"14,196,652","14,196,717",
537,"14,196,717",,"14,196,717","14,196,742",
538,"14,196,742",,"14,196,742","14,196,808",
539,"14,196,808",,"14,196,808","14,196,832",
540,"14,196,832",,"14,196,832","14,196,899",
541,"14,196,899",,"14,196,899","14,196,922",
542,"14,196,922",,"14,196,922","14,196,989",
543,"14,196,989",,"14,196,989","14,197,015",
544,"14,197,015",,"14,197,015","14,197,082",
545,"14,197,082",,"14,197,082","14,197,106",
546,"14,197,106",,"14,197,106","14,197,171",
547,"14,197,171",,"14,197,171","14,197,194",
548,"14,197,194",,"14,197,194","14,197,261",
549,"14,197,261",,"14,197,261","14,197,284",
550,"14,197,284",,"14,197,284","14,197,351",
551,"14,197,351",,"14,197,351","14,197,373",
552,"14,197,373",,"14,197,373","1,419,744",
553,"1,419,744",,"1,419,744","14,197,463",
554,"14,197,463",,"14,197,463","14,197,529",
555,"14,197,529",,"14,197,529","14,197,554",
556,"14,197,554",,"14,197,554","14,197,688",
557,"14,197,688",,"14,197,688","14,197,718",
558,"14,197,718",,"14,197,718","15,209,984",
559,"15,209,984",,"15,209,984","15,210,025",
560,"15,210,025",,"15,210,025","15,210,217",
561,"15,210,217",,"15,210,217","15,210,247",
562,"15,210,247",,"15,210,247","15,210,302",
563,"15,210,302",,"15,210,302","15,210,327",
564,"15,210,327",,"15,210,327","15,210,416",
565,"15,210,416",,"15,210,416","15,210,441",
566,"15,210,441",,"15,210,441","15,210,551",
567,"15,210,551",,"15,210,551","15,210,577",
568,"15,210,577",,"15,210,577","16,223,841",
569,"16,223,841",,"16,223,841","16,223,884",
570,"16,223,884",,"16,223,884","16,223,989",
571,"16,223,989",,"16,223,989","16,224,017",
572,"16,224,017",,"16,224,017","16,224,197",
573,"16,224,197",,"16,224,197","16,224,223",
574,"16,224,223",,"16,224,223","16,224,333",
575,"16,224,333",,"16,224,333","16,224,358",
576,"16,224,358",,"16,224,358","16,224,471",
577,"16,224,471",,"16,224,471","16,224,498",
578,"16,224,498",,"16,224,498","16,667,016",
579,"16,667,016",,"16,667,016","16,667,047",
580,"16,667,047",,"16,667,047","16,667,208",
581,"16,667,208",,"16,667,208","16,667,225",
582,"16,667,225",,"16,667,225","16,677,084",
583,"16,677,084",,"16,677,084","16,677,113",
584,"16,677,113",,"16,677,113","16,677,288",
585,"16,677,288",,"16,677,288","16,677,306",
586,"16,677,306",,"16,677,306","17,237,902",
587,"17,237,902",,"17,237,902","17,237,941",
588,"17,237,941",,"17,237,941","17,238,012",
589,"17,238,012",,"17,238,012","17,238,036",
590,"17,238,036",,"17,238,036","17,238,099",
591,"17,238,099",,"17,238,099","17,238,123",
592,"17,238,123",,"17,238,123","1,723,819",
593,"1,723,819",,"1,723,819","17,238,218",
